ID,Sentence1,Sentence2,Class
34,"A rebel who was captured said more than 2,000 insurgents were involved in the attack.","A captured rebel said 2,100 combatants had been involved in the offensive.
",1
35,"The technology-laced Nasdaq Composite Index <.IXIC> declined 25.78 points, or 1.56 percent, to 1,627.84.","The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.
",0
36,When will Dragon Ball Super release in English dubbed?,Where can I watch Dragon Ball Super (English dubbed) on the TV?,0
37,In 1813 he won the first Prix de Rome for painting and in 1814 the second Prix de Rome for his paintings of the `` death of the Diagora .,He won the second Prix de Rome for painting in 1813 and in 1814 the first Prix de Rome for his painting of the `` death of the Diagora '' .,0
38,What is the difference between a government servant and a public servant?,Union Public Service Commission (India): Are there any civil servants (Indian) on quora?,0
39,The 1980 Atlanta Braves season was the 15th season in Atlanta together with the 110th season as a franchise .,The 1980 Atlanta Braves season was the 110th season in Atlanta along with the 15th season as a franchise overall .,0
40,"The references to New Orleans were changed to Las Vegas , a reference to the negative effects of gambling in Sin City .","The references to New Orleans have been changed to Sin City , a reference to the negative effects of gambling in Las Vegas .",0
41,The Bresnic River is a tributary of the River Slatina in Romania .,The river Slatina is a tributary of the Bresnic River in Romania .,0
42,What are the World records and Olympic records that are broken in Rio Olympics 2016?,What are all the world records beaten in Rio Olympics 2016?,1
43,"In 2007 , Harte temporarily took over the role of Dr. Michael McBain for Nathaniel Marston in ABC - Soap `` One Life to Live '' .",Harte temporarily took over the role of Dr. Nathaniel Marston for Michael McBain on the ABC soap `` One Life to Live '' in 2007 .,0
44,"Black Bull Bitter ( `` 3.9 % ABV '' ) was brewed to commemorate the first pub of Theakson , where the first Theakston 's beers were brewed and sold .","Black Bull Bitter ( `` 3.9 % ABV '' ) was brewed and sold to commemorate the first pub of the Theakson , where the first Theakston 's beers were brewed .",0
45,"The most important use of phosphorous acid ( basic lead acid ) is the production of phosphorous phosphite , which is a stabilizer in PVC and related chlorinated polymers .","The most important use of phosphorous acid ( basic lead acid ) is the production of phosphonic phosphite , which is a stabilizer in PVC and related chlorinated polymers .",1
46,How can I have massive arms and big biceps?,How can get big biceps?,1
47,What is the difference between Apple's Mac and Windows?,What are some differences between a Mac and a PC? What are some similarities?,1
48,"He married Lady Florence Jane Taylour , daughter of Thomas Taylour , 3rd Marquess of Headfort and Amelia Thompson , on 5 August 1875 .","He married Lady Florence Jane Taylour , the daughter of Amelia Thompson , 3rd Marquess of Headfort and Thomas Taylour , on 5 August 1875 .",0
49,Do Jewish people like Richard Wagner's music?,Is it rude to call Jewish people Jews?,0
50,"He studied music history at the University of Vienna under Hans Gál , and studied composition under Guido Adler and Curt Sachs .",He studied music history at the University of Vienna under Guido Adler and Curt Sachs and studied composition with Hans Gál .,0
51,"Traditionally , Drumgoon has always worn a yellow jersey , shorts and socks with a blue trim .","Traditionally Drumgoon have always worn a yellow jersey , shorts and socks with a blue trim .",1
52,"On 28 January 2015 , John Carver was brought into Watson 's backroom team at Newcastle United for the remaining 16 games of the 2014/15 season .","On 28 January 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .",0
53,"It now features modern high-rise buildings , new shopping areas , a large contemporary Metra train station , and several new retail and service facilities .","It now features modern high-rise buildings , new shopping streets , a large contemporary metra train station , and several new retail and service facilities .",1
54,"The port of Los Cristianos ( Tenerife ) has the greatest number of passengers in the Canary Islands , followed by the port of Santa Cruz de Tenerife .","The port of Santa Cruz de Tenerife ( Tenerife ) has the greatest number of passengers in the Canary Islands , followed by the port of Los Cristianos .",0
55,"The Predator has been licensed for sale to Egypt , Morocco , Saudi Arabia and the UAE .","The Predator has been licensed for sale to Egypt , Morocco , Saudi Arabia , and UAE .",1
56,The seventh person charged in the case - Habis Abdu al Saoub - remains at large.,"The seventh member of the cell, Habis Abdullah al Saoub, 37, a Jordanian, remains at large.
",1
57,"Kandy , originally known as Senkadagala , has been the bastion of culture and spiritual centre of Sri Lanka for centuries .","For centuries Sri Lanka , originally known as Senkadagala , has been the bastion of Kandy 's culture and its spiritual centre .",0
58,Part 2 was managed by Yasunori Ide and written by Manabu Nakamura .,Part 2 was written by Yasunori Ide and is directed by Manabu Nakamura .,0
59,Former Mangalore Station was located north of Seymour at the crossroads of North East and Shepparton lines .,Former station North East was located north of Seymour at the junction of the Mangalore and Shepparton lines .,0
60,"After the first round of the duels , Bjørn Johan Muri defeated the skanksters to meet in the second round at Gaute Ormåsen , who beat Heine Totland .","After the first round of the duels , Heine Totland beat the Skanksters to meet Gaute Ormåsen in the second round , which defeated Bjørn Johan Muri .",0
61,This name refers either to the Gawler River ( which starts at the confluence of the South Para River and the North Para River ) or the Little Para River .,This name refers either to the Little Para River ( which starts at the confluence of South Para River and North Para River ) or the Gawler River .,0
62,How long does ibuprofen take to work?,How many milligrams of ibuprofen is it safe to take at one time?,0
63,"Beximco produces textiles , basic chemicals , pharmaceuticals , jute and marine food , and the company also has real estate and land development interests .","Beximco produces textiles , marine chemicals , pharmaceuticals , jute and basic foods , the company also has real estate and land development interests .",0
64,"CJOS-FM broadcasts a Canadian radio station , that is a classic hits format at 92.3 FM in Owen Sound , Ontario .","CJOS-FM is a Canadian radio station that broadcasts a classic hit format at 92.3 FM in Owen Sound , Ontario .",0
65,The series was written by Robert Adler and is drawn by Chris Roberson .,The series was written by Chris Roberson and is drawn by Robert Adler .,0
66,"The team , founded in 1906 , took the first American `` double '' when in 1912 the National Association Football League and the American Cup won .","Founded in 1906 , the team won the first American `` double '' when it took the 1912 National Association Football League and American Cup titles .",0
67,"After the plastic has cooled sufficiently , the tool is ejected and the part is opened .","After the plastic has cooled sufficiently , the mold is ejected and the part is opened .",0
68,"While searching for a job in embedded systems software engineering in the USA, will it help to prepare for a master's in mechtronics?","With reference to IoT, will it be a good idea to specialize on software architecture, distributed software engineering for the embedded domain?",0
69,"In a relatively simple form , a microcapsule is a small sphere with a uniform wall around it .","In a relatively simple form , a microcapsule is a small bullet with a uniform wall around it .",1
70,He moved of health reasons to Santa Barbara in 1871 where he first settled in Southern California .,"In 1871 , for health reasons , he moved to Santa Barbara , where he first settled in Southern California .",1
71,Cohen was appointed by Robert W. Edgar as a member of the President 's Council of Common Cause .,Robert W. Edgar was appointed Member of the Council of the President 's Common Cause by Cohen .,0
72,"While the 33d Tactical Group was inactive , it was consolidated as 33d Tactical Fighter Group with the 33d Fighter Group .","While the 33d Tactical Group was inactive , it was consolidated with the 33d Fighter Group as the 33d Tactical Fighter Group .",1
73,"These were common in the United Kingdom , but in Europe , at least for large locomotives , they are relatively rare .","These were rare in the United Kingdom , but relatively common in Europe , at least for large locomotives .",0
74,"Eddie Dibbs defeated Hans Gildemeister with 6 -- 4 , 6 -- 3 , 6 -- 1 .","Eddie Dibbs defeated Hans Gildemeister 6 -- 4 , 6 -- 3 , 6 -- 1 .",1
75,"And procedural knowledge ( steps to make and which decision , when to do ) .",And procedural knowledge ( steps to take and what decision when to make ) .,1
76,"She left the Pacific in 1946 , and steamed via the Suez Canal to Norfolk , Virginia .","She left the Pacific in 1946 and steamed over the Suez Canal to Norfolk , Virginia .",1
77,This is caused by a combination of kinetic heating ( friction ) and adiabatic compression .,This is caused by a combination of kinetic ( friction ) heating and adiabatic compression,1
78,The party is currently run by Paolo Grimoldi as national secretary and Giacomo Stucchi as national president .,The party is currently led by Giacomo Stucchi as national secretary and Paolo Grimoldi as the national president .,0
79,"He played for TuTo Turku and TPS , playing a season in Austria for Klagenfurter AC and four seasons in the Bundesliga for the Berliner SC .","He played for TuTo Turku and Klagenfurter AC , playing a season in Austria for TPS and four seasons in the Bundesliga for the Berliner SC .",0
80,"Two bridges cross the river to Pental Island , to the west on Fish Point Road and to the east at Swan Hill at the Fish Point .","Two bridges cross the river to Pental Island ; at Fish Point Road in the west , and on Swan Hill at Fish Point in the east .",1
81,A very small part of the southwestern Red House borders the town of Great Valley .,A very small part of southwestern Red House borders the town of Great Valley .,1
82,He dated John F. Kennedy ( who was later to marry Jacqueline Bouvier and become the First Lady of the United States .,He dated Jacqueline Bouvier ( who later was to marry John F. Kennedy and become First Lady of the United States .,0
83,"EPZ is a Thana located under the Chittagong Division , Bangladesh in the Chittagong District .","EPZ is a thana under the Chittagong Division , Bangladesh in Chittagong District .",1
84,"A generally unobtrusive survey of the American reception of Franz of Assisi , however , judged that `` is the book derivative and much later '' .","However , a much later survey of the American reception of Francis of Assisi judged that `` the book is derivative and generally undistinguished '' .",0
85,"""Silence is the language of god. All else is poor translation."" What does this mean?",What is the meaning of Silence?,0
86,"The Lockheed Martin-built SIRTF is the last of NASA's Hubble-class ""Great Observatories.""","SIRTF is the last of NASA's so-called Great Observatories.
",1
87,"Farry Island is the largest island in Long Lake in Lanark County , Eastern Ontario , Canada , in the Tay Valley municipality .","Farry Island is the largest island in Long Lake in Lanark County in eastern Ontario , Canada in the municipality of Tay Valley .",1
88,Girish Puthenchery wrote the text for the songs composed by Johnson .,Johnson wrote the lyrics for the songs of Girish Puthenchery composed .,0
89,"Because of that, the family had kept him from the home over the objections of the grandmother, police said.","Because of that, the family had run him out of the house over the objections of the grandmother and he was living on the street.
",0
90,"There is a Cornelius Grinnell bay offshore island , located in Baffin Island .",It is a Cornelius Grinnell Bay offshore island located in Baffin Island .,1
91,Carrie played the entertainment manager and Willie Garson 's gay friend Stanford Blatch .,Willie Garson played entertainment manager and Carrie 's gay friend Stanford Blatch .,0
92,"When Russ asked him to play guitar in the new band , Aaron agreed .","When Russ asked him to play guitar in the new band , Aaron agreed to .",1
93,It was climbed freely and named after Bill House when he first climbed it in 1938 .,"It was first climbed and named after Bill House , when he free climbed it in 1938 .",0
94,"It opened in 1955 , shortly after new mayor Norris Poulson ended all new public housing in the city .","It opened in 1955 , shortly after the new mayor Norris Poulson ended all the new public housing in the city .",1
95,Many miners connected the rushes to Charters Towers ( 1872 ) and the Palmer River ( 1873 ) .,Many miners joined the rushes to Palmer River ( 1872 ) and the Charters Towers ( 1873 ) .,0
96,How many Singaporeans have always dreamed of getting a PhD but stopped short due to lack of resources?,What children love in Bangalore?,0
97,The game was launched on 16 May when the Steam Greenlight campaign was announced .,"The game was announced on May 16 , when the Steam Greenlight campaign was launched .",0
98,The river Valea Negrenilor or Negreni River is a tributary of the river Amaradia .,The Valea Negrenilor River or Negreni River is a tributary of the Amaradia River .,1
99,"Finally , the global stiffness matrix is built up by adding together the individual element matrices expanded .","Finally , the global stiffness matrix is constructed by adding the individual expanded element matrices together .",1
100,"The Barmat Scandal was later used often in Nazi propaganda , both as an electoral strategy and as an appeal to anti-Semitism .","The Barmat scandal was later often used in the Nazi - propaganda , both as an electoral strategy and as an appeal to anti-Semitism .",1
101,"Ryan Sweeting won against Evans in the final 6 -- 4 , 6 - 3 .","Evans won in the final 6 -- 4 , 6 -- 3 , against Ryan Sweeting .",0
102,"In 1854 Cooper left Australia and returned to London where he lived , a confirmed bachelor , until his death at the age of ninety .","He left London in 1854 and returned to Australia , where he lived until his death at the age of 90 , a confirmed bachelor .",0
103,It was published by Kids Can Press in 1985 and was printed by Everbest in Hong Kong .,It was printed in 1985 by Kids Can Press and published by Everbest in Hong Kong .,0
104,"Analysts had expected 53 cents a share, according to research firm Thomson First Call.","Home Depot is expected to report earnings per share of 46 cents for the third quarter, according to Thomson First Call.
",0
105,"The play was printed in 1631 under its subtitle , `` The School of Complement '' , in a quarto published by Elizabeth Allde for the bookseller Francis Constable .",The piece was printed in 1631 under the subtitle `` The School of Complement '' in a Quarto published by Elizabeth Allde for bookseller Francis Constable .,1
106,"He was born in Baltimore , Maryland and died in Hagerstown , Maryland at the age of 69 .","Born in Baltimore , Maryland , he died at the age of 69 in Hagerstown , Maryland .",1
107,Why does chewing gum dissipate in some people's mouths?,How does chewing gum while peeling onions stop a person from crying?,0
108,"It has been found in Croatia , Bosnia and Herzegovina , Serbia and Montenegro , the Republic of Macedonia and Bulgaria , as well as Turkey , Azerbaijan and Iran .","It is found in Serbia and Montenegro , Bosnia and Herzegovina , Croatia , the Republic of Macedonia and Bulgaria , as well as Turkey , Azerbaijan and Iran .",1
109,Thomas Fothergill D.D . was an English academic administrator at the University of Oxford .,Thomas Fothergill D.D . was an academic English administrator at the University of Oxford .,1
110,`` Clitarchus hookeri '' is found from Wellington to the region of Northland in the south of the North Island of New Zealand .,`` Clitarchus hookeri '' is found from Wellington to the Northland region in the south of the North Island of New Zealand .,1
111,"He proposes that Kant 's first two premises only entail that we must try to achieve the perfect good , not that it is actually attainable .","He proposes that the first two premises of Kant only entail that we must try to achieve the perfect good , not that it is actually achievable .",1
112,His case was widely publicized in medical as well as in religious publications .,"His case was widely publicized in medical , as well as religious publications .",1
113,"She also opened for Shiatzy Chen , Yves Saint Laurent , Karl Lagerfeld and Alexander McQueen and closed for Prada , Kostüm National and Louis Vuitton .","It also closed for Shiatzy Chen , Yves Saint Laurent , Karl Lagerfeld and Alexander McQueen and opened for Prada , Costume National and Louis Vuitton .",0
114,"The private Claiborne Academy is located in unincorporated Haynesville , near Claiborne Parish .","The private Claiborne Academy is located in Claiborne Parish , not near Haynesville .",0
115,Should more young people become entrepreneurs in East Asia?,What is the best way to start buying shares?,0
116,"It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Catalonia , Barcelona , Spain .","It took place from 23 April to 29 April 2010 in the Real Club de Tenis Barcelona in Barcelona , Catalonia , Spain .",1
117,"The current governor of the province is Nasratullah Arsala , his predecessor was Maj Gen Zalmai Weesa , the city of Gardez is the capital of the province .",The current governor of the province is Nasratullah Arsala . His predecessor was Maj Gen Zalmai Weesa . The city of Gardez serves as the capital of the province .,1
118,"On September 8 , 2014 , Harris announced on his Twitter site that David Burtka and he were married on the weekend in Italy .","On September 8 , 2014 , David Burtka announced on his Twitter page that Harris and he were married over the weekend in Italy .",0
119,"The design of this Japanese porcelain , white and blue according to European taste , with many flowers , has been made by Wagener .","The design of this European porcelain , by the Japanese taste many , with white and blue flowers made Wagener .",0
120,"The Greenwood Union Cemetery is a graveyard in Rye and Harrison , Westchester County , New York .","The Greenwood Union Cemetery is a cemetery in Rye and Harrison in Westchester County , New York .",1
121,What are the requirements for getting a credit card?,What are some Healthy requirements to obtain Credit card?,1
122,"Christie has also translated the biography of Francisco Sabate Llopart , `` Sabate : An Extraordinary Guerrilla '' , by Antonio Téllez Solá in English .","Christie also translated into English the biography of Francisco Sabate Llopart , `` Sabate : An Extraordinary Guerrilla '' , by Antonio Téllez Solá .",1
123,The Bazga River is a tributary of the Bohotin River in Romania .,The river Bazga is a tributary of the Bohotin River in Romania .,1
124,"Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.","Simply put, shy invividuals tend to be more timid with new people and situations.
",1
125,"Affected , Arthur tries to be more considerate towards Gwen ( offering to make dinner etc .","Arthur tries to be affected , to be more considerate towards Gwen ( offering to make dinner , etc .",1
126,"Later , both Nicole and Russ refused to attend Sam 's funeral .",Nicole and Russ both later refused to attend Sam 's funeral .,1
127,"The Giro 's mountainous stage 20 ended on the slopes of Les Deux Alpes , and the penultimate stage began on the mountain the next day .","The mountainous stage 20 of the Giro began on the slopes of Les Deux Alpes , and the second stage ended the next day on the mountain .",0
128,Magnus turned the heel and reformed the British invasion of Williams by attacking Eric Young and Orlando Jordan 's team .,Williams turned around and reformed the British invasion of Magnus by attacking the Eric Young and Orlando Jordan team .,0
129,"Guillermo Pérez Roldán defeated Andrés Gómez 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 -- 6 , 6 -- 2 .","Guillermo Pérez Roldán defeated Andrés Gómez with 6 : 0 , 7 -- 6 , 3 -- 6 , 0 - 6 , 6 -- 2 .",1
130,"Guillermo Pérez Roldán defeated Andrés Gómez with 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 - 6 , 6 - 2 .","Andrés Gómez defeated Guillermo Pérez Roldán 6 -- 0 , 7 -- 6 , 3 -- 6 , 0 -- 6 , 6 -- 2",0
131,"Kurt Treu ( 15 September 1928 in Karja , Saare County , Estonia -- June 6 , 1991 in Vienna , Austria ) was a German classical philologist .","Kurt Treu ( September 15 , 1928 in Vienna , June 6 , 1991 in Karja , Saare County , Estonia ) was a German classical philologist .",0
132,She is portrayed by Katherine McNamara in the film of the book and Lily Collins in the television series .,She is portrayed by Katherine McNamara in the film adaptation of the book and Lily Collins in the television series .,1
133,"According to the Miramar Ship Index `` Baie St. Paul © has a capacity of 24,430 tons and a gross tonnage of 37,690 tons .","`` Baie St. Paul '' has a gross tonnage capacity of 24,430 tons and a capacity of 37,690 tons according to the Miramar Ship Index .",0
134,He died in Lyon on 23 July 1963 and was buried at the Chartreuse cemetery in Bordeaux .,He died in Bordeaux on 23 July 1963 and was buried at the Chartreuse cemetery in Lyon .,0
135,"It has a legendary 1814 shoot on fresh artists from Johnny Cash , Ring of Fire to UB40 , picture on the wall .","It offers a fresh 1814 spin on legendary artists from Johnny Cash , Ring of Fire to UB40 , image on the wall .",0
136,"The tiny island is meters long from northwest to southeast , and up to meters wide , and about in area .",The tiny island is from northwest to southeast meters long and up to meters wide and roughly area .,1
137,"Mount Cobb is a mountain on Mount Filberg , located east of Gold River and southwest of Vancouver Island , British Columbia , Canada .","Mount Cobb is a mountain located on Vancouver Island , British Columbia , Canada , east of Gold River and southwest of Mount Filberg .",0
138,Bruno Simma was in the case of LaGrand assistant to Paulus .,Bruno Simma was an assistant to Paulus in the LaGrand case .,1
139,"In 2015 , it was named as part of the Philharmonie de Paris Philharmonie 2 , when a larger symphony room was built by Jean Nouvel and renamed to Philharmonie 1 .","In 2015 it was renamed Philharmonie 2 as part of the Philharmonie de Paris , when a larger Symphony Hall was built by Jean Nouvel and Philharmonic 1 was named .",0
140,"The fourth season was premiered on 7 June 2010 , and like the third season was the system of competition for mixed couples .","The third season was premiered on 7 June 2010 , and like the fourth season was the system of competition in mixed pairs .",0
141,"""I´m very proud of the citizens of this state,"" Gov. John Baldacci said after votes from Tuesday´s referendum were counted.","""I'm very proud of the citizens of this state,"" said Gov. John Baldacci, a casino foe.
",0
142,Char Hesamaddi is a village in Barisal Division in the Barisal District of southern-central Bangladesh .,Char Hesamaddi is a village in the Barisal District of Barisal Division in Southern Central Bangladesh .,1
143,"Wichita North High School was the first high school in the city of Wichita , finished in 1929 , Wichita East High School was the second high school .","Wichita North High School was the first high school in the city of Wichita , completed in 1929 . Wichita East High School was the second high school .",1
144,The milling project transformed the palace spaces into common areas and the resulting factory into bedrooms .,The resulting project transformed the palace spaces into common areas and the mill factory into the bedrooms .,0
145,Why are fungi considered to be bacteria?,Are fungi considered a bacteria?,1
146,The river Dunăreana is a tributary of the Galbena River in Romania .,The Dunăreana River is a tributary of the Galbena River in Romania .,1
147,"Until 1798 , he studied in Copenhagen before settling in Dresden .","He studied in Copenhagen until 1798 , before settling in Dresden .",1
148,How do I recover permanently deleted files from Ubuntu?,Is there a way to recover deleted files from a laptop?,0
149,"He returned to Connecticut in 1877 , but soon went back to California and went to the Republic of Salvador in the autumn of 1879 as a state geologist .","In 1877 he went to Connecticut , but soon returned to California and returned to the Republic of Salvador as a state geologist in the fall of 1879 .",0
150,"Java calls these types simple types , while they are called in C # `` Primitive Types '' .","Java calls these types primitive types , while they are called `` simple types '' in C # .",0
151,The season 1954 -- 55 National Basketball Association was the ninth NBA season .,The 1954 -- 55 National Basketball Association season was the ninth season of the NBA .,1
152,"He inherited the Gwalior gharana and the Gandharva Mahavidyalaya , but he was always open to adopting other features of aesthetic gharanas and styles .","He inherited the Gwalior - Gharana and the Gandharva - Mahavidyalaya , but he was always open to taking aesthetic features of other gharanas and styles .",0
153,Steve Richard is the head sales trainer at Vorsight . David Stillman is the President and CEO of the company .,David Stillman is the Head Sales Trainer at Vorsight and Steve Richard is President and CEO of the company .,0
154,Do you care what other people think of you?,Do you care about what other people think?,1
155,`` Spruance '' was decommissioned on 23 March 2005 and then was sunk as a target on 8 December 2006 .,`` Spruance '' was sunk on 23 March 2005 and was decommissioned as a goal on 8 December 2006 .,0
156,The use of the Internet has allowed animated cards to become interactive .,The use of the Internet has allowed interactive maps to become animated .,0
157,"In both the stage and film version of Hedwig and the Angry Inch , the character of Hedwig moves to Junction City after leaving East Germany .","In both the stage and the film versions of Hedwig and The Angry Inch , the figure of Hedwig moves to East Germany after leaving Junction City .",0
158,"Rescue workers arriving to February's deadly fire at a West Warwick nightclub met a horrific scene, as people trapped in the club's doorway screamed for help.","Rescue workers arriving at February's deadly nightclub fire met a horrific scene, as people trapped in the club's doorway screamed for help, rescue tapes released Thursday show.
",1
159,"In early U.S. trade, the euro was down 1.06 percent at $1.1607 <EUR=>.","In late afternoon trade in New York, the euro was down 0.83 percent against the dollar at $1.1633 <EUR=>.
",0
160,Why does a CPU have so many VCC/VSS pins?,How do I straighten bent CPU pins?,0
161,The fourth came in the second quarter to a pass from Dunlap to Stumpy Thomason .,The fourth came in the second quarter on a pass from Dunlap to Stumpy Thomason .,1
162,Why is Quora addicting?,What makes Quora addictive?,1
163,"Jossie de Guzman , also known as Josie de Guzman , is an American actress and singer of Puerto Rican descent , known primarily for her work in theatre .","Jossie de Guzman , also known as Josie de Guzman , is an American actress and singer of Puerto Rican descent , best known for work in the theatre .",1
164,"Red and white wine , sweet and dry wine , wine brandy and a reinforced wine called Angelica were all produced from mission grapes .","Red and white wine , fortified wine , brandy , and a sweet and dry wine called Angelica were all produced from Mission grapes .",1
165,"In August 1987 , the family took a hit when Orndorff Heenan delivered and Oliver Humperdink joined .","In August 1987 , the Family took a hit when Orndorff dumped Heenan and joined Oliver Humperdink .",0
166,The group was founded in Las Vegas and later displaced to Los Angeles .,"The group was founded in Los Angeles , and later relocated to Las Vegas .",0
167,"Together with Marcus Ehning , Otto Becker and Ludger Beerbaum , Nieberg won another gold medal in team jumping at the 2000 Summer Olympics in Sydney .","Marcus Ehning , Otto Becker and Ludger Beerbaum together won a gold medal in Team Jumping at the 2000 Summer Olympics in Sydney , again with Nieberg .",0
168,How did crop circles originate? Is there any logical explanation behind this phenomenon?,What is the scientific explanation of crop circles?,1
169,"In May , Kate Ritchie arrived as Sally Fletcher , a love interest for established character Kieran Fletcher ( Spencer McLaren ) .","In May Kate Ritchie came as Sally Fletcher , a love interest for established character Kieran Fletcher ( Spencer McLaren ) .",1
