text,aspectCategory,polarity,tokens
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",food,negative,"['They', 'did', 'not', 'have', 'mayonnaise,', 'forgot', 'our', 'toast,', 'left', 'out', 'ingredients', '(ie', 'cheese', 'in', 'an', 'omelet),', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it.']"
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",service,conflict,"['It', 'took', 'half', 'an', 'hour', 'to', 'get', 'our', 'check,', 'which', 'was', 'perfect', 'since', 'we', 'could', 'sit,', 'have', 'drinks', 'and', 'talk!']"
The design and atmosphere is just as good.,ambience,positive,"['The', 'design', 'and', 'atmosphere', 'is', 'just', 'as', 'good.']"
He has visited Thailand and is quite expert on the cuisine.,food,positive,"['He', 'has', 'visited', 'Thailand', 'and', 'is', 'quite', 'expert', 'on', 'the', 'cuisine.']"
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,anecdotes/miscellaneous,positive,"['I', 'would', 'definitely', 'recommend', ""Mary's"", 'and', 'am', 'making', 'it', 'one', 'of', 'my', 'regular', 'neighborhood', 'haunts.']"
The pizza is the best if you like thin crusted pizza.,food,positive,"['The', 'pizza', 'is', 'the', 'best', 'if', 'you', 'like', 'thin', 'crusted', 'pizza.']"
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,anecdotes/miscellaneous,positive,"['My', 'Girlfriend', 'and', 'I', 'stumbled', 'onto', 'this', 'hopping', 'place', 'the', 'other', 'night', 'and', 'had', 'a', 'great', 'time!']"
"He can't help, they're bought up so fast.",anecdotes/miscellaneous,neutral,"['He', ""can't"", 'help,', ""they're"", 'bought', 'up', 'so', 'fast.']"
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",ambience,negative,"['Secondly,', 'on', 'this', 'night', 'the', 'place', 'was', 'overwhelmed', 'by', 'upper', 'east', 'side', 'ladies', 'perfume.']"
"i have eaten here a handful of times, for no reason besides sheer convenience.",anecdotes/miscellaneous,neutral,"['i', 'have', 'eaten', 'here', 'a', 'handful', 'of', 'times,', 'for', 'no', 'reason', 'besides', 'sheer', 'convenience.']"
Obviously run by folks who know a pie.,service,positive,"['Obviously', 'run', 'by', 'folks', 'who', 'know', 'a', 'pie.']"
We were very disappointed.,anecdotes/miscellaneous,negative,"['We', 'were', 'very', 'disappointed.']"
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,anecdotes/miscellaneous,positive,"['IT', 'IS', 'DEFINITELY', 'SPECIAL', 'AND', 'AFFORDABLE.']"
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,price,positive,"['IT', 'IS', 'DEFINITELY', 'SPECIAL', 'AND', 'AFFORDABLE.']"
I really liked this place.,anecdotes/miscellaneous,positive,"['I', 'really', 'liked', 'this', 'place.']"
I will be going back very soon.,anecdotes/miscellaneous,positive,"['I', 'will', 'be', 'going', 'back', 'very', 'soon.']"
"All the money went into the interior decoration, none of it went to the chefs.",ambience,positive,"['All', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration,', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs.']"
"All the money went into the interior decoration, none of it went to the chefs.",food,negative,"['All', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration,', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs.']"
The seats are uncomfortable if you are sitting against the wall on wooden benches.,ambience,negative,"['The', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches.']"
"I asked for seltzer with lime, no ice.",food,neutral,"['I', 'asked', 'for', 'seltzer', 'with', 'lime,', 'no', 'ice.']"
It was pretty inexpensive too.,price,positive,"['It', 'was', 'pretty', 'inexpensive', 'too.']"
Will not be back.,anecdotes/miscellaneous,negative,"['Will', 'not', 'be', 'back.']"
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",food,positive,"[""Don't"", 'go', 'alone---even', 'two', 'people', ""isn't"", 'enough', 'for', 'the', 'whole', 'experience,', 'with', 'pickles', 'and', 'a', 'selection', 'of', 'meats', 'and', 'seafoods.']"
My suggestion is to eat family style because you'll want to try the other dishes.,food,neutral,"['My', 'suggestion', 'is', 'to', 'eat', 'family', 'style', 'because', ""you'll"", 'want', 'to', 'try', 'the', 'other', 'dishes.']"
"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,positive,"['Best', 'of', 'all', 'is', 'the', 'warm', 'vibe,', 'the', 'owner', 'is', 'super', 'friendly', 'and', 'service', 'is', 'fast.']"
"Best of all is the warm vibe, the owner is super friendly and service is fast.",ambience,positive,"['Best', 'of', 'all', 'is', 'the', 'warm', 'vibe,', 'the', 'owner', 'is', 'super', 'friendly', 'and', 'service', 'is', 'fast.']"
This isn't a value joint.,price,negative,"['This', ""isn't"", 'a', 'value', 'joint.']"
Faan's got a great concept but a little rough on the delivery.,anecdotes/miscellaneous,positive,"[""Faan's"", 'got', 'a', 'great', 'concept', 'but', 'a', 'little', 'rough', 'on', 'the', 'delivery.']"
Faan's got a great concept but a little rough on the delivery.,service,negative,"[""Faan's"", 'got', 'a', 'great', 'concept', 'but', 'a', 'little', 'rough', 'on', 'the', 'delivery.']"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,positive,"['From', 'the', 'incredible', 'food,', 'to', 'the', 'warm', 'atmosphere,', 'to', 'the', 'friendly', 'service,', 'this', 'downtown', 'neighborhood', 'spot', ""doesn't"", 'miss', 'a', 'beat.']"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive,"['From', 'the', 'incredible', 'food,', 'to', 'the', 'warm', 'atmosphere,', 'to', 'the', 'friendly', 'service,', 'this', 'downtown', 'neighborhood', 'spot', ""doesn't"", 'miss', 'a', 'beat.']"
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",ambience,positive,"['From', 'the', 'incredible', 'food,', 'to', 'the', 'warm', 'atmosphere,', 'to', 'the', 'friendly', 'service,', 'this', 'downtown', 'neighborhood', 'spot', ""doesn't"", 'miss', 'a', 'beat.']"
"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,positive,"['Great', 'food', 'at', 'REASONABLE', 'prices,', 'makes', 'for', 'an', 'evening', 'that', ""can't"", 'be', 'beat!']"
"Great food at REASONABLE prices, makes for an evening that can't be beat!",price,positive,"['Great', 'food', 'at', 'REASONABLE', 'prices,', 'makes', 'for', 'an', 'evening', 'that', ""can't"", 'be', 'beat!']"
Look foward to trying the Ruben upon returning.,anecdotes/miscellaneous,positive,"['Look', 'foward', 'to', 'trying', 'the', 'Ruben', 'upon', 'returning.']"
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,anecdotes/miscellaneous,neutral,"['The', 'only', 'other', 'steakhouse', 'that', 'seems', 'to', 'hold', 'a', 'candle', 'to', ""Roth's"", 'is', 'the', 'Strip', 'House.']"
We usually go to the Chart House to celebrate a birthday or anniversary.,anecdotes/miscellaneous,neutral,"['We', 'usually', 'go', 'to', 'the', 'Chart', 'House', 'to', 'celebrate', 'a', 'birthday', 'or', 'anniversary.']"
this little place has a cute interior decor and affordable city prices.,ambience,positive,"['this', 'little', 'place', 'has', 'a', 'cute', 'interior', 'decor', 'and', 'affordable', 'city', 'prices.']"
this little place has a cute interior decor and affordable city prices.,price,positive,"['this', 'little', 'place', 'has', 'a', 'cute', 'interior', 'decor', 'and', 'affordable', 'city', 'prices.']"
You'll adore it.,anecdotes/miscellaneous,positive,"[""You'll"", 'adore', 'it.']"
Two words: Free wine.,price,positive,"['Two', 'words:', 'Free', 'wine.']"
The price is reasonable although the service is poor.,service,negative,"['The', 'price', 'is', 'reasonable', 'although', 'the', 'service', 'is', 'poor.']"
The price is reasonable although the service is poor.,price,positive,"['The', 'price', 'is', 'reasonable', 'although', 'the', 'service', 'is', 'poor.']"
"The quantity is also very good, you will come out satisfied.",food,positive,"['The', 'quantity', 'is', 'also', 'very', 'good,', 'you', 'will', 'come', 'out', 'satisfied.']"
I have been to Roth's twice and both times were very disappointing.,anecdotes/miscellaneous,negative,"['I', 'have', 'been', 'to', ""Roth's"", 'twice', 'and', 'both', 'times', 'were', 'very', 'disappointing.']"
Worth visiting the 1st Ave spot because it is the original store.,anecdotes/miscellaneous,positive,"['Worth', 'visiting', 'the', '1st', 'Ave', 'spot', 'because', 'it', 'is', 'the', 'original', 'store.']"
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",anecdotes/miscellaneous,neutral,"['I', 'stumbled', 'upon', 'this', 'second', 'floor', 'walk-up', 'two', 'Fridays', 'ago', 'when', 'I', 'was', 'with', 'two', 'friends', 'in', 'town', 'from', 'L.A.', 'Being', 'serious', 'sushi', 'lovers,', 'we', 'sat', 'at', 'the', 'sushi', 'bar', 'to', 'be', 'closer', 'to', 'the', 'action.']"
"Raga's is a romantic, cozy restaurant.",ambience,positive,"[""Raga's"", 'is', 'a', 'romantic,', 'cozy', 'restaurant.']"
The fried rice is amazing here.,food,positive,"['The', 'fried', 'rice', 'is', 'amazing', 'here.']"
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",food,positive,"['Three', 'courses', '-', 'choices', 'include', 'excellent', 'mussels,', 'puff', 'pastry', 'goat', 'cheese', 'and', 'salad', 'with', 'a', 'delicious', 'dressing,', 'and', 'a', 'hanger', 'steak', 'au', 'poivre', 'that', 'is', 'out', 'of', 'this', 'world.']"
it's a perfect place to have a amanzing indian food.,food,positive,"[""it's"", 'a', 'perfect', 'place', 'to', 'have', 'a', 'amanzing', 'indian', 'food.']"
The place is so cool and the service is prompt and curtious.,service,positive,"['The', 'place', 'is', 'so', 'cool', 'and', 'the', 'service', 'is', 'prompt', 'and', 'curtious.']"
The place is so cool and the service is prompt and curtious.,ambience,positive,"['The', 'place', 'is', 'so', 'cool', 'and', 'the', 'service', 'is', 'prompt', 'and', 'curtious.']"
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,food,positive,"['At', 'the', 'end', ""you're"", 'left', 'with', 'a', 'mild', 'broth', 'with', 'noodles', 'that', 'you', 'can', 'slurp', 'out', 'of', 'a', 'cup.']"
I just wonder how you can have such a delicious meal for such little money.,price,positive,"['I', 'just', 'wonder', 'how', 'you', 'can', 'have', 'such', 'a', 'delicious', 'meal', 'for', 'such', 'little', 'money.']"
I just wonder how you can have such a delicious meal for such little money.,food,positive,"['I', 'just', 'wonder', 'how', 'you', 'can', 'have', 'such', 'a', 'delicious', 'meal', 'for', 'such', 'little', 'money.']"
The food was delicious but do not come here on a empty stomach.,food,conflict,"['The', 'food', 'was', 'delicious', 'but', 'do', 'not', 'come', 'here', 'on', 'a', 'empty', 'stomach.']"
The wine list is excellent.,food,positive,"['The', 'wine', 'list', 'is', 'excellent.']"
so garantuan that you can't fit them in a toaster.,food,positive,"['so', 'garantuan', 'that', 'you', ""can't"", 'fit', 'them', 'in', 'a', 'toaster.']"
"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",food,positive,"['Ive', 'been', 'to', 'many', 'Thai', 'restaurants', 'in', 'Manhattan', 'before,', 'and', 'Toons', 'is', 'by', 'far', 'the', 'best', 'Thai', 'food', 'Ive', 'had', '(except', 'for', 'my', ""mom's"", 'of', 'course).']"
They wouldnt even let me finish my glass of wine before offering another.,service,positive,"['They', 'wouldnt', 'even', 'let', 'me', 'finish', 'my', 'glass', 'of', 'wine', 'before', 'offering', 'another.']"
I highly recommend the Sophia pizza.,anecdotes/miscellaneous,positive,"['I', 'highly', 'recommend', 'the', 'Sophia', 'pizza.']"
"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",service,negative,"['Whem', 'asked,', 'we', 'had', 'to', 'ask', 'more', 'detailed', 'questions', 'so', 'that', 'we', 'knew', 'what', 'the', 'specials', 'were.']"
This is a consistently great place to dine for lunch or dinner.,anecdotes/miscellaneous,positive,"['This', 'is', 'a', 'consistently', 'great', 'place', 'to', 'dine', 'for', 'lunch', 'or', 'dinner.']"
"Nice atmosphere, the service was very pleasant and the desert was good.",food,positive,"['Nice', 'atmosphere,', 'the', 'service', 'was', 'very', 'pleasant', 'and', 'the', 'desert', 'was', 'good.']"
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive,"['Nice', 'atmosphere,', 'the', 'service', 'was', 'very', 'pleasant', 'and', 'the', 'desert', 'was', 'good.']"
"Nice atmosphere, the service was very pleasant and the desert was good.",ambience,positive,"['Nice', 'atmosphere,', 'the', 'service', 'was', 'very', 'pleasant', 'and', 'the', 'desert', 'was', 'good.']"
All the people that I bring there go back on their own and bring THEIR friends!,anecdotes/miscellaneous,positive,"['All', 'the', 'people', 'that', 'I', 'bring', 'there', 'go', 'back', 'on', 'their', 'own', 'and', 'bring', 'THEIR', 'friends!']"
After really enjoying ourselves at the bar we sat down at a table and had dinner.,anecdotes/miscellaneous,positive,"['After', 'really', 'enjoying', 'ourselves', 'at', 'the', 'bar', 'we', 'sat', 'down', 'at', 'a', 'table', 'and', 'had', 'dinner.']"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,positive,"['Fabulous', 'service,', 'fantastic', 'food,', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment.']"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,positive,"['Fabulous', 'service,', 'fantastic', 'food,', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment.']"
"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",ambience,positive,"['Fabulous', 'service,', 'fantastic', 'food,', 'and', 'a', 'chilled', 'out', 'atmosphere', 'and', 'environment.']"
Not what I wanted to hear.,anecdotes/miscellaneous,negative,"['Not', 'what', 'I', 'wanted', 'to', 'hear.']"
Try the lasagnette appetizer.,food,positive,"['Try', 'the', 'lasagnette', 'appetizer.']"
"Pricey, but worth a try, at least once.",price,negative,"['Pricey,', 'but', 'worth', 'a', 'try,', 'at', 'least', 'once.']"
"Pricey, but worth a try, at least once.",anecdotes/miscellaneous,positive,"['Pricey,', 'but', 'worth', 'a', 'try,', 'at', 'least', 'once.']"
"I've been there a few times, and I usually end up sitting next to some pretty odd people.",anecdotes/miscellaneous,negative,"[""I've"", 'been', 'there', 'a', 'few', 'times,', 'and', 'I', 'usually', 'end', 'up', 'sitting', 'next', 'to', 'some', 'pretty', 'odd', 'people.']"
I liked the beer selection!,food,positive,"['I', 'liked', 'the', 'beer', 'selection!']"
"Great food, good size menu, great service and an unpretensious setting.",food,positive,"['Great', 'food,', 'good', 'size', 'menu,', 'great', 'service', 'and', 'an', 'unpretensious', 'setting.']"
"Great food, good size menu, great service and an unpretensious setting.",service,positive,"['Great', 'food,', 'good', 'size', 'menu,', 'great', 'service', 'and', 'an', 'unpretensious', 'setting.']"
"Great food, good size menu, great service and an unpretensious setting.",ambience,positive,"['Great', 'food,', 'good', 'size', 'menu,', 'great', 'service', 'and', 'an', 'unpretensious', 'setting.']"
Go here for a romantic dinner but not for an all out wow dining experience.,anecdotes/miscellaneous,conflict,"['Go', 'here', 'for', 'a', 'romantic', 'dinner', 'but', 'not', 'for', 'an', 'all', 'out', 'wow', 'dining', 'experience.']"
Can't wait to go back.,anecdotes/miscellaneous,positive,"[""Can't"", 'wait', 'to', 'go', 'back.']"
I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,anecdotes/miscellaneous,neutral,"['I', 'grew', 'up', 'eating', 'Dosa', 'and', 'have', 'yet', 'to', 'find', 'a', 'place', 'in', 'NY', 'to', 'satisfy', 'my', 'taste', 'buds.']"
Wine list selection is good and wine-by-the-glass was generously filled to the top.,food,positive,"['Wine', 'list', 'selection', 'is', 'good', 'and', 'wine-by-the-glass', 'was', 'generously', 'filled', 'to', 'the', 'top.']"
"With the great variety on the menu , I eat here often and never get bored .",food,positive,"['With', 'the', 'great', 'variety', 'on', 'the', 'menu', ',', 'I', 'eat', 'here', 'often', 'and', 'never', 'get', 'bored', '.']"
The menu is very limited - i think we counted 4 or 5 entrees.,food,negative,"['The', 'menu', 'is', 'very', 'limited', '-', 'i', 'think', 'we', 'counted', '4', 'or', '5', 'entrees.']"
"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",anecdotes/miscellaneous,positive,"['If', 'you', 'are', 'a', 'carnivore,', 'come', 'hungry', 'and', 'you', 'will', 'leave', 'more', 'satisfied', 'than', 'you', 'have', 'ever', 'been.']"
The menu is limited but almost all of the dishes are excellent.,food,conflict,"['The', 'menu', 'is', 'limited', 'but', 'almost', 'all', 'of', 'the', 'dishes', 'are', 'excellent.']"
Not too crazy about their sake martini.,food,negative,"['Not', 'too', 'crazy', 'about', 'their', 'sake', 'martini.']"
"Great bagels, spreads and a good place to hang out in.",food,positive,"['Great', 'bagels,', 'spreads', 'and', 'a', 'good', 'place', 'to', 'hang', 'out', 'in.']"
"Great bagels, spreads and a good place to hang out in.",anecdotes/miscellaneous,positive,"['Great', 'bagels,', 'spreads', 'and', 'a', 'good', 'place', 'to', 'hang', 'out', 'in.']"
"The service varys from day to day- sometimes they're very nice, and sometimes not.",service,conflict,"['The', 'service', 'varys', 'from', 'day', 'to', 'day-', 'sometimes', ""they're"", 'very', 'nice,', 'and', 'sometimes', 'not.']"
"whoever the jazz duo was, they were on POINT.",ambience,positive,"['whoever', 'the', 'jazz', 'duo', 'was,', 'they', 'were', 'on', 'POINT.']"
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,service,positive,"['One', 'thing', 'I', 'liked', 'about', 'this', 'place', 'is', 'that', 'I', 'never', 'felt', 'rushed', 'or', 'pressured', 'to', 'give', 'up', 'my', 'table', 'ot', 'incoming', 'guests.']"
This place is a great bargain.,price,positive,"['This', 'place', 'is', 'a', 'great', 'bargain.']"
We happened upon this place purely by accident and were pleased with the results.,anecdotes/miscellaneous,positive,"['We', 'happened', 'upon', 'this', 'place', 'purely', 'by', 'accident', 'and', 'were', 'pleased', 'with', 'the', 'results.']"
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,positive,"['Unfortunately,', 'the', 'food', 'is', 'outstanding,', 'but', 'everything', 'else', 'about', 'this', 'restaurant', 'is', 'the', 'pits.']"
"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",anecdotes/miscellaneous,negative,"['Unfortunately,', 'the', 'food', 'is', 'outstanding,', 'but', 'everything', 'else', 'about', 'this', 'restaurant', 'is', 'the', 'pits.']"
Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,anecdotes/miscellaneous,positive,"['Deff', 'recimmend', 'Bukhara', 'they', 'also', 'have', 'opened', 'two', 'new', 'locations', 'guess', 'ill', 'try', 'them', 'out.']"
We always have a delicious meal and always leave feeling satisfied.,food,positive,"['We', 'always', 'have', 'a', 'delicious', 'meal', 'and', 'always', 'leave', 'feeling', 'satisfied.']"
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",food,neutral,"['Dip', 'the', 'ingredients', 'in', 'with', 'your', 'chopsticks,', 'swirl', 'them', 'around,', 'and', 'eat.']"
First went here to enjoy their garden terrace.,ambience,positive,"['First', 'went', 'here', 'to', 'enjoy', 'their', 'garden', 'terrace.']"
"My husbands was perfect, my was well done and dry.",food,conflict,"['My', 'husbands', 'was', 'perfect,', 'my', 'was', 'well', 'done', 'and', 'dry.']"
"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",service,positive,"['Everyone', 'I', 'have', 'spoken', 'too', 'there', 'is', 'super', 'friendly,', 'helpful,', 'and', 'willing', 'to', 'the', 'extra', 'mile', 'for', 'a', 'customer.']"
The pizza was pretty good and huge.,food,positive,"['The', 'pizza', 'was', 'pretty', 'good', 'and', 'huge.']"
Sapphire is the only Indian restaurant I go to when I'm in NYC.,anecdotes/miscellaneous,positive,"['Sapphire', 'is', 'the', 'only', 'Indian', 'restaurant', 'I', 'go', 'to', 'when', ""I'm"", 'in', 'NYC.']"
"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",food,neutral,"['The', 'cuisine', 'from', 'what', ""I've"", 'gathered', 'is', 'authentic', 'Taiwanese,', 'though', 'its', 'very', 'different', 'from', 'what', ""I've"", 'been', 'accustomed', 'to', 'in', 'Taipei.']"
I heartily recommend.,anecdotes/miscellaneous,positive,"['I', 'heartily', 'recommend.']"
Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,anecdotes/miscellaneous,positive,"['Heartland', 'Brewery', 'is', 'by', 'far', 'one', 'of', 'the', 'best', 'places', 'in', 'NYC', 'to', 'make', 'new', 'friends', 'and', 'catch', 'up', 'with', 'old', 'ones.']"
I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,ambience,positive,"['I', 'almost', 'hesititate', 'to', 'write', 'a', 'review', 'because', 'the', 'atmosphere', 'was', 'so', 'great', 'and', 'I', 'would', 'hate', 'for', 'it', 'too', 'become', 'to', 'crowded.']"
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive,"['They', 'are', 'often', 'crowded', 'on', 'the', 'weekends', 'but', 'they', 'are', 'efficient', 'and', 'accurate', 'with', 'their', 'service.']"
They are often crowded on the weekends but they are efficient and accurate with their service.,ambience,negative,"['They', 'are', 'often', 'crowded', 'on', 'the', 'weekends', 'but', 'they', 'are', 'efficient', 'and', 'accurate', 'with', 'their', 'service.']"
All my co-workers were amazed at how small the dish was.,food,negative,"['All', 'my', 'co-workers', 'were', 'amazed', 'at', 'how', 'small', 'the', 'dish', 'was.']"
"The atmosphere is unheralded, the service impecible, and the food magnificant.",food,positive,"['The', 'atmosphere', 'is', 'unheralded,', 'the', 'service', 'impecible,', 'and', 'the', 'food', 'magnificant.']"
"The atmosphere is unheralded, the service impecible, and the food magnificant.",service,positive,"['The', 'atmosphere', 'is', 'unheralded,', 'the', 'service', 'impecible,', 'and', 'the', 'food', 'magnificant.']"
"The atmosphere is unheralded, the service impecible, and the food magnificant.",ambience,positive,"['The', 'atmosphere', 'is', 'unheralded,', 'the', 'service', 'impecible,', 'and', 'the', 'food', 'magnificant.']"
"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",food,negative,"['We', 'ordered', 'the', 'special,', 'grilled', 'branzino,', 'that', 'was', 'so', 'infused', 'with', 'bone,', 'it', 'was', 'difficult', 'to', 'eat.']"
"The wait staff is friendly, and the food has gotten better and better!",food,positive,"['The', 'wait', 'staff', 'is', 'friendly,', 'and', 'the', 'food', 'has', 'gotten', 'better', 'and', 'better!']"
"The wait staff is friendly, and the food has gotten better and better!",service,positive,"['The', 'wait', 'staff', 'is', 'friendly,', 'and', 'the', 'food', 'has', 'gotten', 'better', 'and', 'better!']"
"This place, which is only a few months old, is perhaps Queens' biggest secret!",anecdotes/miscellaneous,positive,"['This', 'place,', 'which', 'is', 'only', 'a', 'few', 'months', 'old,', 'is', 'perhaps', ""Queens'"", 'biggest', 'secret!']"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",food,positive,"['It', 'may', 'be', 'a', 'bit', 'packed', 'on', 'weekends,', 'but', 'the', 'vibe', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'French', 'food', 'you', 'will', 'find', 'in', 'the', 'area.']"
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",ambience,conflict,"['It', 'may', 'be', 'a', 'bit', 'packed', 'on', 'weekends,', 'but', 'the', 'vibe', 'is', 'good', 'and', 'it', 'is', 'the', 'best', 'French', 'food', 'you', 'will', 'find', 'in', 'the', 'area.']"
This place is so much fun.,anecdotes/miscellaneous,positive,"['This', 'place', 'is', 'so', 'much', 'fun.']"
